file_path,true_label,true_label_cn,pred_label,pred_label_cn,confidence
data\speech-emotion-recognition-ravdess-data\Actor_20\03-01-01-01-01-01-20.wav,neutral,中性,sad,悲伤,0.8245
data\speech-emotion-recognition-ravdess-data\Actor_20\03-01-03-01-02-01-20.wav,happy,开心,angry,愤怒,0.3694
data\speech-emotion-recognition-ravdess-data\Actor_20\03-01-04-01-02-02-20.wav,sad,悲伤,fearful,恐惧,0.6404
data\speech-emotion-recognition-ravdess-data\Actor_20\03-01-05-01-01-01-20.wav,angry,愤怒,fearful,恐惧,0.8953
data\speech-emotion-recognition-ravdess-data\Actor_20\03-01-05-01-01-02-20.wav,angry,愤怒,happy,开心,0.5512
data\speech-emotion-recognition-ravdess-data\Actor_20\03-01-05-02-01-02-20.wav,angry,愤怒,happy,开心,0.462
data\speech-emotion-recognition-ravdess-data\Actor_20\03-01-06-01-01-01-20.wav,fearful,恐惧,sad,悲伤,0.502
data\speech-emotion-recognition-ravdess-data\Actor_21\03-01-03-01-01-01-21.wav,happy,开心,neutral,中性,0.9324
data\speech-emotion-recognition-ravdess-data\Actor_21\03-01-03-01-01-02-21.wav,happy,开心,neutral,中性,0.9022
data\speech-emotion-recognition-ravdess-data\Actor_21\03-01-04-01-01-01-21.wav,sad,悲伤,disgust,厌恶,0.9073
data\speech-emotion-recognition-ravdess-data\Actor_21\03-01-04-01-01-02-21.wav,sad,悲伤,disgust,厌恶,0.6039
data\speech-emotion-recognition-ravdess-data\Actor_21\03-01-04-01-02-01-21.wav,sad,悲伤,disgust,厌恶,0.9383
data\speech-emotion-recognition-ravdess-data\Actor_21\03-01-04-01-02-02-21.wav,sad,悲伤,happy,开心,0.5041
data\speech-emotion-recognition-ravdess-data\Actor_21\03-01-04-02-01-02-21.wav,sad,悲伤,happy,开心,0.8947
data\speech-emotion-recognition-ravdess-data\Actor_21\03-01-04-02-02-01-21.wav,sad,悲伤,happy,开心,0.8908
data\speech-emotion-recognition-ravdess-data\Actor_21\03-01-04-02-02-02-21.wav,sad,悲伤,happy,开心,0.8988
data\speech-emotion-recognition-ravdess-data\Actor_21\03-01-06-01-01-01-21.wav,fearful,恐惧,happy,开心,0.4781
data\speech-emotion-recognition-ravdess-data\Actor_21\03-01-06-01-01-02-21.wav,fearful,恐惧,disgust,厌恶,0.7592
data\speech-emotion-recognition-ravdess-data\Actor_21\03-01-06-02-01-01-21.wav,fearful,恐惧,happy,开心,0.8984
data\speech-emotion-recognition-ravdess-data\Actor_21\03-01-06-02-01-02-21.wav,fearful,恐惧,happy,开心,0.887
data\speech-emotion-recognition-ravdess-data\Actor_21\03-01-06-02-02-01-21.wav,fearful,恐惧,happy,开心,0.791
data\speech-emotion-recognition-ravdess-data\Actor_21\03-01-07-01-01-01-21.wav,disgust,厌恶,angry,愤怒,0.8293
data\speech-emotion-recognition-ravdess-data\Actor_21\03-01-07-01-02-02-21.wav,disgust,厌恶,angry,愤怒,0.8974
data\speech-emotion-recognition-ravdess-data\Actor_22\03-01-03-01-02-02-22.wav,happy,开心,sad,悲伤,0.3838
data\speech-emotion-recognition-ravdess-data\Actor_22\03-01-03-02-01-02-22.wav,happy,开心,angry,愤怒,0.733
data\speech-emotion-recognition-ravdess-data\Actor_22\03-01-03-02-02-01-22.wav,happy,开心,fearful,恐惧,0.9169
data\speech-emotion-recognition-ravdess-data\Actor_22\03-01-03-02-02-02-22.wav,happy,开心,angry,愤怒,0.6734
data\speech-emotion-recognition-ravdess-data\Actor_22\03-01-04-02-01-01-22.wav,sad,悲伤,fearful,恐惧,0.7452
data\speech-emotion-recognition-ravdess-data\Actor_22\03-01-04-02-01-02-22.wav,sad,悲伤,fearful,恐惧,0.4473
data\speech-emotion-recognition-ravdess-data\Actor_22\03-01-06-01-01-02-22.wav,fearful,恐惧,disgust,厌恶,0.4569
data\speech-emotion-recognition-ravdess-data\Actor_22\03-01-06-01-02-01-22.wav,fearful,恐惧,angry,愤怒,0.7592
